"filename", "language", "Markdown", "JSON with Comments", "JavaScript", "JSON", "XML", "HTML", "JavaScript JSX", "CSS", "SCSS", "Properties", "comment", "blank", "total"
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\_sections.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 478, 0, 4, 94, 576
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\_sidebar-and-main-panel.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 527, 0, 3, 90, 620
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\_social-buttons.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 1, 3, 42
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\_tables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 24, 174
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\_tabs.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 221, 0, 3, 23, 247
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\_timeline.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 155, 0, 0, 35, 190
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\_typography.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 148, 0, 5, 21, 174
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 276, 0, 19, 113, 408
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\cards\_card-background.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 9, 66
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\cards\_card-chart.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 8, 49
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\cards\_card-collapse.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 6, 40
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\cards\_card-contributions.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 8, 43
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\cards\_card-info-area.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\cards\_card-lock.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\cards\_card-map.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\cards\_card-plain.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\cards\_card-pricing.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 11, 112
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\cards\_card-profile.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 11, 50
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\cards\_card-signup.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 6, 42
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\cards\_card-stats-mini.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 9, 54
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\cards\_card-stats.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 10, 49
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\cards\_card-subcategories.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\cards\_card-tasks.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 1, 28
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\cards\_card-testimonials.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 10, 75
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\cards\_card-user.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 10, 51
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\mixins\_badges.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 5, 40
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\mixins\_buttons.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 179, 0, 2, 32, 213
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\mixins\_cards.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
